doc_id,name,type,text
1,Azoxystrobin,Fungicide,"An experimental compound used on cereals, vegetables, fruit crops, peanuts, turf, ornamentals, stone fruit, bananas, rice, apples, grapes,  & potatoes. This chemical does not leach and is unlikely to contaminate water bodies. It is found to exhibit very low ecological risks, to aquatic life, birds, and mammals. Other names include Abound, Amistar, Bankit, Heritage, and Quadris."
2,Boscalid,Fungicide,"Fungicide used on specialty crops such as straberries, beans, stone fruit, tree nuts, root vegetables, carrots, grapes, Brassica vegetables, and sunflowers."
3,Carbendazim (MBC),Fungicide,"Found to be acutely toxic to honeybees, having an effect on long term survival of colonies. Foods with Carbendazim residues include: strawberries, green beans, apple sauce, blueberries, sweet bell peppers, apples, cherries, green onions, spinach, bananas, honey, lettuce, water, celery, cauliflower, celery & broccoli."
4,Chlorothalonil,Fungicide,"General use insecticide used on trees, small fruits, turf, ornamentals, and vegetables. Found to be non-toxic to honey bees."
5,Cyprodinil,Fungicide,"Used as a foliar fungicide on cereals, grapes, pome fruit, stone fruit, strawberries, vegetables, field crops and ornamentals; and as a seed dressing on barley."
6,Dicloran,Fungicide,"Widely used fungicide used on a variety of  ornamentals, fruit and vegetable crops such as pricots, snap beans, carrots, celery, cherries, cucumber, endive, fennel, garlic, grapes, lettuce, nectarines, onions, peaches, plums, potatoes, prunes, rhubarb, shallots, sweet potatoes and tomatoes."
7,Fenbuconazole,Fungicide,"Systemic fungicide intended for use as an agricultural and horticultural fungicide spray for the control of leaf spot, yellow and brown rust, powdery mildew and net blotch on wheat and barley and apple scab, pear scab and apple powdery mildew on apples and pears. Residues are also found on cherries, apricots, plums, peaches, grapes, oranges and grapefruits and numerous vegetables."
8,Fludioxonil,Fungicide,"A fungicide used to control fungal disease, making it a useful seed treatment as well as a post-harvest treatment for fruit such as apples, bilberries, blackberries, blackcurrants, blueberries, broad beans, combining peas, crab apples, cranberries, dwarf french beans, edible podded peas, forest nursery, gooseberries, ornamental plant production, pears, quinces, raspberries, redcurrants, runner beans, strawberries, vining peas and whitecurrants."
9,Metalaxyl,Fungicide,"A fungicide used in mixtures as a foliar spray for tropical and subtropical crops, as a soil treatment for control of soil-borne pathogens, and as a seed treatment to control downy mildews. Its average half-life in soil is about 70 days. At pH's of 5 to 9 and temperatures of 20 to 30 degrees C, the half- life in water was greater than four weeks. Metalaxyl is non-toxic to honeybees."
10,Myclobutanil,Fungicide,"A fungicide registered for use on a wide range of food crops.  It is used heavily to control fungi affecting wine and table grapes, especially in California. California accounts for roughyl 50% or all myclobutanil use in the US. 60% of myclobutanil use in CA is applied to grapes. It also has a number of other food crop and commercial or residential landscaping applications. Found to be non-toxic to honey bees.(http://toxipedia.org/display/toxipedia/Myclobutanil)."
11,Pyraclostrobin,Fungicide,"Controls foliar fungal diseases Residues are found on a variety of fruits including melons, apples, brassicaea family, sunflowers, beans, peppers, lettuces, kale and cucumbers."
12,Tebuconazole,Fungicide,A powder used to treat pathogenic and foliar plant fungi on food and feed crops.
13,Thiabendazole,Fungicide,"Fungicide used to control mold, rot, blight and stain on fruits and vegetables. It is found to be non-toxic to honey bees."
14,Trifloxystrobin,Fungicide,"A long-term effective pesticide used to treat fungal turf infections such as brown patch, red thread, rust, anthracnose, fusarium patch and dollar spot."
15,THPI,Fungicide,"Major metabolite of Captan, a fungicide. Used to control diseases on a number of fruits and vegetables as well as ornamental plants. It also improves the outward appearance of many fruits, making them brighter and healthier-looking. Captan is utilized by both home and agricultural growers and is often applied during apple production. Captan is cited as Group B2, a probable human carcinogen by the EPA."
16,Vinclozolin,Fungicide,"General use fungicide used on raspberries, chicory, lettuce, kiwi, canola, snap beans, dry bulb onions, ornamentals, and turf."
17,Atrazine,Herbicide,"A commonly used, effective and inexpensive herbicide used to eliminate noxious weeds in major crops. It frequently contaminates groundwater and is can causes male amphibians (frogs) to change gender. It is restricted in Europe."
18,Fluridone,Herbicide,"Herbicide used to control aquatic weeds in freshwater ponds whether floating, submerged or emersed."
19,Metolachlor,Herbicide,"Applied to soil to control weeds in corn, soybeans, peanuts, grain sorghum, potatoes, pod crops, cotton, safflower, stone fruits, nut trees, highway right-of-ways and woody ornamental fields. Rapid degradation in sunny soil."
20,Oxyfluorfen,Herbicide,"Herbicide used to control broadleaf and grassy weeds in fruit and vegetable crops as well as ornamentals. It is also used for weed control on patios and driveways. ""The largest agricultural markets in terms of total pounds active ingredient are wine grapes and almonds.""  It does not appear to have an effect on honey bees."
21,Pendimethalin,Herbicide,"Herbicide used to control annual grasses and certain broadleaf weeds. Usually used to protect crops such as wheat, corn, soybeans potatoes, cabbage, peas, carrots and asparagus. Found to not be toxic to bees or mammals but highly toxic to aquatic invertebrates and fish."
22,Propazine,Herbicide,Herbacide found to be non-toxic to honey bees. Applied to boradleaf weeds and annual grasses in sweet sorghum in the form of a spray or powder.
23,Tebuthiuron,Herbicide,"Tebuthiuron is a herbicide used to control weeds in noncropland areas, rangelands, rights-of-way and industrial sites.  Weeds that are controlled by tebuthiuron include alfalfa, bluegrasses, chickweed, clover, dock, goldenrod, mullein, etc. If used correctly it should not pose a threat to bees"
24,Trifluralin,Herbicide,"Herbicide on used on grass, to control broadleaf weeds and on some fruit and vegetable crops, flowers and shrubs such as cotton, alfalfa, sunflowers and soybeans are examples. Insoluble in water but does not leave residues on crops so residues only occur in root tissues. Considered a pre-emergence herbicide"
25,"2,4 Dimethylphenyl formamide (DMPF)",Insecticide,Amitraz is a non-systemic acaricide and insecticide. Amitraz is among many other purposes best known as insecticide against mite- or tick-infestation of dogs.
26,Acephate,Insecticide,"General use insecticide commonly used to treat species, in fruit, vegetables (e.g. potatoes and sugar beets), vine, and hop cultivation and in horticulture to protect from biting and sucking insects. Considered toxic to bees at 1.2 ug/bee (Kidd, H. and James, D. R., Eds. The Agrochemicals Handbook, Third Edition. Royal Society of Chemistry Information Services, Cambridge, UK, 1991 (as updated).5-14)."
27,Acetamiprid,Insecticide,"Contact neonicatinoid insecticide targeting sucking-type insects. Can be applied to soil or as a foliar spray on apples, cherries, letttuce, pears, peppers, house and garden plants, potatoes, plums and tomatoes."
28,Aldicarb sulfone,Insecticide,"Active ingredient in pesticide Temik. It is effective against thrips, aphids, spider mites, lygus, fleahoppers, and leafminers, but is primarily used as a nematicide in potato crops. Its weakness is its high level of solubility, which restricts its use in certain areas where the water table is close to the surface."
29,Aldicarb sulfoxide,Insecticide,"Active ingredient in pesticide Temik. It is effective against thrips, aphids, spider mites, lygus, fleahoppers, and leafminers, but is primarily used as a nematicide in potato crops. Its weakness is its high level of solubility, which restricts its use in certain areas where the water table is close to the surface.e."
30,Bifenthrin,Insecticide,"Insecticide used mainly again red fire ants but also used to control aphids, worms, ants, gnats, moths, beetles, grasshoppers, mites, midges, spiders, ticks, yellow jackets, maggots, thrips, caterpillars, flies and fleas. It is mostly used in orchards, nurseries and homes and is seen in large amounts on corn. It is highly toxic to aquatic organisms and has one of the longest known residual times in soil on the market. ""In bees, the lethal concentration (LC50) of bifenthrin is about 17 mg/L. At sub lethal concentrations, bifenthrin reduces the fecundity of bees, decreases the rate at which bees develop into adulthood, and increases their immature periods. Dai, Ping-Li; Wang, Qiang; Sun, Ji-Hu; Liu, Feng; Wang, Xing; Wu, Yan-Yan; Zhou, Ting (2010). ""Effects of sub lethal concentrations of bifenthrin and deltamethrin on fecundity, growth, and development of the honeybeeApis mellifera logistical"". Environmental Toxicology and Chemistry 29 (3): 644–9."" A Pyrethroid insecticide."
31,Chlorpyrifos,Insecticide,"Insecticide effective in controlling cutworms, corn rootworms, cockroaches, grubs, flea beetles, flies, termites, fire ants, and lice. Mainly used as an insecticide on grain, cotton, field, fruit, nut and vegetable crops, and well as on lawns and ornamental plants. ""Aquatic and general agricultural uses of chlorpyrifos pose a serious hazard to wildlife and honeybees"" (Kidd, H. and James, D. R., Eds. The Agrochemicals Handbook, Third Edition. Royal Society of Chemistry Information Services, Cambridge, UK, 1991, 5-14)"
32,Coumaphos,Insecticide,"A widely used insecticide found to be moderately toxic to bees. It used to control livestock insects such as cattle grubs, screw worms, lice, scabies, flies and ticks. Coumaphos is an organophosphate which affects the activity of naturally occuring enzymes called cholinesterases in humans and insects that are essential for the proper functioing of the nervous system."
33,Coumaphos oxon,Insecticide,Coumaphos degraded to its first coroxon (a metabolite of Coumaphos)
